id,estacion
1, Observatorio
T197, Tacubaya
3, Juanacatlán
4, Chapultepec
5, Sevilla
6, Insurgentes
7, Cuauhtémoc
T13, Balderas
T18, Salto del Agua
A10, Isabel la Católica
T12, Pino Suárez
12, Merced
T14, Candelaria
T1B, San Lázaro
15, Moctezuma
16, Balbuena
A17, Boulevard Puerto Aéreo
A18, Gomez Farias
A19, Zaragoza
T159A, Pantitlan
21, Cuatro Caminos
22, Panteones
T27, Tacuba
24, Cuitláhuac
25, Popotla
26, Colegio Militar
27, Normal
28, San Cosme
29, Revolución
T23, Hidalgo
T28, Bellas Artes
32, Allende
33, Zócalo
T12, Pino Suárez
35, San Antonio Abad
T289, Chabacano
37, Viaducto
38, Xola
39, Villa de Cortés
40, Nativitas
41, Portales
T212, Ermita
43, General Anaya
44, Tasqueña
