origen,destino,peso
1,T197,1
T197,1,1
T197,3,1
3,T197,1
3,4,1
4,3,1
4,5,1
5,4,1
5,6,1
6,5,1
6,7,1
7,6,1
7,T13,1
T13,7,1
T13,T18,1
T18,T13,1
T18,A10,1
10,T18,1
10,T12,1
T12,A10,1
T12,12,1
12,T12,1
12,T14,1
T14,12,1
T14,T1B,1
T1B,T14,1
T1B,15,1
15,T1B,1
15,16,1
16,15,1
16,A17,1
A17,16,1
A17,A18,1
A18,A17,1
A18,A19,1
A19,A18,1
A19,T159A,1
T159A,A19,1
21,22,1
22,21,1
22,T27,1
T27,22,1
T27,24,1
24,T27,1
24,25,1
25,24,1
25,26,1
26,25,1
26,27,1
27,26,1
27,28,1
28,27,1
28,29,1
29,28,1
29,T23,1
T23,29,1
T23,T28,1
T28,T23,1
T28,32,1
32,T28,1
32,33,1
33,32,1



