origen,destino,peso
1,T197,1
T197,1,1
T197,3,1
3,T197,1
3,4,1
4,3,1
4,5,1
5,4,1
5,6,1
6,5,1
6,7,1
7,6,1
7,T13,1
T13,7,1
T13,T18,1
T18,T13,1
T18,10,1
10,T18,1
10,T12,1
T12,10,1
T12,12,1
12,T12,1
12,T14,1
T14,12,1
T14,T1B,1
T1B,T14,1
T1B,15,1
15,T1B,1
15,16,1
16,15,1
16,17,1
17,16,1
17,18,1
18,17,1
18,19,1
19,18,1
19,T159A,1
T159A,19,1
21,22,1
22,21,1
22,T27,1
T27,22,1
T27,24,1
24,T27,1
24,25,1
25,24,1
25,26,1
26,25,1
26,27,1
27,26,1
27,28,1
28,27,1
28,29,1
29,28,1
29,T23,1
T23,29,1
T23,T28,1
T28,T23,1
T28,32,1
32,T28,1
32,33,1
33,32,1
33,T12,1
T12,33,1
T12,35,1
35,T12,1
35,T289,1
T289,35,1
T289,37,1
37,T289,1
37,38,1
38,37,1
38,39,1
39,38,1
39,40,1
40,39,1
40,41,1
41,40,1
41,T212,1
T212,41,1
T212,43,1
43,T212,1
43,44,1
44,43,1
45,T36,1
T36,45,1
T36,47,1
47,T36,1
47,T35,1
T35,47,1
T35,49,1
49,T35,1
49,T3B,1
T3B,49,1
T3B,T23,1
T23,T3B,1
T23,52,1
52,T23,1
52,T13,1
T13,52,1
T13,54,1
54,T13,1
54,55,1
55,54,1
55,T39,1
T39,55,1
T39,57,1
57,T39,1
57,58,1
58,57,1
58,59,1
59,58,1
59,T312,1
T312,59,1
T312,61,1
61,T312,1
61,62,1
62,61,1
62,63,1
63,62,1
63,64,1
64,63,1
64,65,1
65,64,1
T46,66,1
66,T46,1
66,68,1
68,66,1
68,T45,1
T45,68,1
T45,70,1
70,T45,1
70,T4B,1
T4B,70,1
T4B,T14,1
T14,T4B,1
T14,73,1
73,T14,1
73,T49,1
T49,73,1
T49,T48,1
T48,T49,1
T159A,77,1
77,T159A,1
77,78,1
78,77,1
78,T5B,1
T5B,78,1
T5B,80,1
80,T5B,1
80,81,1
81,80,1
81,T45,1
T45,81,1
T45,83,1
83,T45,1
83,84,1
84,83,1
84,T35,1
T35,84,1
T35,86,1
86,T35,1
86,T63,1
T63,86,1
T63,88,1
88,T63,1
T67,90,1
90,T67,1
90,91,1
91,90,1
91,92,1
92,91,1
92,93,1
93,92,1
93,94,1
94,93,1
94,T63,1
T63,94,1
T63,96,1
96,T63,1
96,T36,1
T36,96,1
T36,98,1
98,T36,1
98,T46,1
T46,98,1
T67,101,1
101,T67,1
101,102,1
102,101,1
102,103,1
103,102,1
103,T27,1
T27,103,1
T27,105,1
105,T27,1
105,106,1
106,105,1
106,107,1
107,106,1
107,108,1
108,107,1
108,T197,1
T197,108,1
T197,110,1
110,T197,1
110,111,1
111,110,1
111,T712,1
T712,111,1
T712,113,1
113,T712,1
114,T28,1
T28,114,1
T28,116,1
116,T28,1
116,T18,1
T18,116,1
T18,118,1
118,T18,1
118,119,1
119,118,1
119,T289,1
T289,119,1
T289,121,1
121,T289,1
121,T48,1
T48,121,1
T48,123,1
123,T48,1
123,124,1
124,123,1
124,125,1
125,124,1
125,126,1
126,125,1
126,127,1
127,126,1
127,T812,1
T812,127,1
T812,129,1
129,T812,1
129,130,1
130,129,1
130,131,1
131,130,1
131,132,1
132,131,1
T197,134,1
134,T197,1
134,135,1
135,134,1
135,T39,1
T39,135,1
T39,137,1
137,T39,1
137,T289,1
T289,137,1
T289,T49,1
T49,T289,1
T49,140,1
140,T49,1
140,141,1
141,140,1
141,142,1
142,141,1
142,143,1
143,142,1
143,T159A,1
T159A,143,1
T159A,T159A,1
T159A,T159A,1
T159A,146,1
146,T159A,1
146,147,1
147,146,1
147,148,1
148,147,1
148,149,1
149,148,1
149,150,1
150,149,1
150,151,1
151,150,1
151,152,1
152,151,1
152,153,1
153,152,1
153,154,1
154,153,1
155,156,1
156,155,1
156,157,1
157,156,1
157,158,1
158,157,1
158,159,1
159,158,1
159,160,1
160,159,1
160,161,1
161,160,1
161,162,1
162,161,1
162,163,1
163,162,1
163,164,1
164,163,1
164,165,1
165,164,1
165,T5B,1
T5B,165,1
T5B,167,1
167,T5B,1
167,168,1
168,167,1
168,T1B,1
T1B,168,1
T1B,T4B,1
T4B,T1B,1
T4B,170,1
170,T4B,1
170,171,1
171,170,1
171,172,1
172,171,1
172,T3B,1
T3B,172,1
T3B,174,1
174,T3B,1
T712,176,1
176,T712,1
176,177,1
177,176,1
177,T312,1
T312,177,1
T312,179,1
179,T312,1
179,180,1
180,179,1
180,T212,1
T212,180,1
T212,182,1
182,T212,1
182,T812,1
T812,182,1
T812,184,1
184,T812,1
184,185,1
185,184,1
185,186,1
186,185,1
186,187,1
187,186,1
187,188,1
188,187,1
188,189,1
189,188,1
189,190,1
190,189,1
190,191,1
191,190,1
191,192,1
192,191,1
192,193,1
193,192,1
193,194,1
194,193,1
